Unnamed: 0,HomeTeam,AwayTeam,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,HomeTeamLP,AwayTeamLP,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,DiffLP,FTR
3167.0,15.0,25.0,18.0,13.0,20.0,17.0,0.2460832367180259,0.05542835490836975,W,W,W,D,L,W,D,W,D,L,5.0,13.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22103563608794685,-0.4776595865069224,0.13696394093011352,0.46786350157636825,-0.9947854680725148,NH
3105.0,22.0,21.0,16.0,7.0,9.0,2.0,0.03308678348164828,1.557069985317935,L,W,L,W,W,W,D,W,D,W,9.0,4.0,9.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4991192078253035,1.0500223833650324,-1.08462401435558,-0.7723524362417532,0.6211637928092925,NH
3325.0,34.0,40.0,28.0,27.0,36.0,27.0,-0.35944690999050066,-0.1632014610165703,D,L,D,W,D,L,L,D,D,D,15.0,14.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.40293706785905703,-0.017712326760977462,-0.14152066956587084,0.3256663293955947,0.12394863561489027,NH
74.0,32.0,25.0,10.0,11.0,9.0,11.0,-0.31303245298708426,-0.8830976640894747,W,W,L,D,D,D,D,L,D,L,15.0,12.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19466845119091475,-0.017712326760977462,0.40418630614871903,1.7972199599269307,0.3725562142120914,NH
3531.0,41.0,0.0,11.0,36.0,18.0,14.0,-0.9411747710404009,1.737823144526069,D,D,D,L,L,W,W,D,W,W,18.0,4.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8613154946554744,2.722806762556369,-1.9117408590795044,-2.3174547921082405,1.7398978964966973,NH
2504.0,37.0,21.0,12.0,32.0,31.0,16.0,-1.612233644983606,0.9912340086380949,L,L,D,L,L,W,W,L,W,W,18.0,3.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2232128060207663,1.0221684344047426,-1.8613946163605082,-1.3156209394389056,1.8642016857952979,NH
5251.0,35.0,27.0,42.0,26.0,48.0,48.0,-0.7168382288780406,-0.6119679252664292,D,L,L,D,L,W,L,D,L,W,9.0,11.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2712068190356527,-1.0454069852568508,-0.0782985199404942,-0.4070700858067005,-0.24896273228091137,
1491.0,11.0,32.0,61.0,39.0,29.0,39.0,1.571394501170712,-0.06970844762033811,L,D,L,D,W,L,L,W,L,W,4.0,8.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3334746673004674,-0.017712326760977462,1.1761620278914602,-0.04458683384167724,-0.4975703108781125,NH
4449.0,1.0,16.0,29.0,32.0,34.0,36.0,-0.42270809583043883,-0.12995950069694587,D,L,L,D,W,W,W,L,D,W,9.0,8.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26775589110777237,-0.2391684147868028,-0.21053510190545724,-0.4887104578703866,0.12394863561489027,NH
5207.0,27.0,36.0,19.0,36.0,39.0,32.0,-0.7417645113402859,1.2357310355977162,L,D,L,D,W,W,W,D,L,W,11.0,5.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0959785937334439,0.20374376126484792,-1.411386224616731,-0.4887104578703866,0.745467582107893,
