Unnamed: 0,B365H,B365D,B365A,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA
0,1.727,3.25,4.333,1.8,3.1,3.8,1.615,3.25,5.0,1.66,3.3,4.5
1,2.8,3.25,2.2,2.9,3.0,2.2,2.8,3.2,2.2,2.75,3.1,2.3
2,2.25,3.25,2.75,2.3,3.0,2.7,2.25,3.2,2.75,2.3,3.1,2.75
3,1.727,3.25,4.333,1.8,3.1,3.8,1.833,3.2,3.75,1.72,3.2,4.33
4,1.6669999999999998,3.4,4.5,1.7,3.2,4.2,1.615,3.5,4.5,1.66,3.3,4.5
5,1.2,5.0,12.0,1.2,5.0,10.0,1.2,5.0,11.0,1.2,5.0,11.0
6,1.222,5.0,10.0,1.25,4.5,9.0,1.25,4.5,10.0,1.22,5.0,9.5
7,3.0,3.25,2.1,2.9,3.0,2.2,3.0,3.2,2.1,3.2,3.0,2.1
8,1.571,3.4,5.5,1.65,3.3,4.4,1.615,3.5,4.5,1.57,3.5,5.0
9,2.75,3.25,2.25,2.5,3.0,2.5,2.75,3.2,2.25,2.7,3.0,2.37
17,4.0,3.5,1.727,4.2,3.2,1.7,4.0,3.4,1.727,4.33,3.2,1.72
16,3.75,3.25,1.833,3.5,3.1,1.9,4.0,3.2,1.8,4.2,3.25,1.72
15,1.833,3.25,3.75,1.9,3.1,3.5,1.909,3.2,3.5,1.8,3.1,4.0
14,2.1,3.0,3.25,2.0,3.1,3.2,2.1,3.2,3.0,2.1,3.1,3.1
10,2.625,3.2,2.375,2.6,3.0,2.4,2.4,3.25,2.5,2.5,3.1,2.5
12,1.3330000000000002,4.333,7.5,1.3,4.2,8.0,1.364,3.75,8.0,1.28,4.33,8.5
11,2.1,3.25,3.0,2.2,3.0,2.9,2.2,3.25,2.75,2.1,3.1,3.1
13,2.5,3.2,2.5,2.7,3.0,2.3,2.75,3.25,2.2,2.62,3.25,2.3
18,1.17,5.5,13.0,1.2,5.0,10.0,1.2,5.0,11.0,1.16,5.5,12.0
19,2.4,3.2,2.6,2.3,3.0,2.7,2.4,3.25,2.5,2.5,3.1,2.5
24,3.0,3.25,2.1,3.2,3.1,2.0,2.75,3.25,2.2,3.2,3.2,2.0
23,1.5,3.4,6.5,1.4,3.9,6.0,1.44,3.6,6.5,1.36,3.75,8.0
22,1.67,3.4,4.5,1.6,3.4,4.6,1.67,3.25,4.5,1.66,3.3,4.5
21,3.0,3.25,2.1,2.8,2.9,2.3,3.4,3.25,1.91,3.0,3.2,2.1
20,2.2,3.25,2.8,2.1,3.0,3.1,2.2,3.25,2.75,2.2,3.2,2.8
25,4.0,3.25,1.8,3.5,3.1,1.9,4.333,3.4,1.6669999999999998,4.0,3.1,1.8
26,1.727,3.25,4.333,1.8,3.1,3.8,1.8,3.2,4.0,1.72,3.2,4.33
27,5.0,3.4,1.615,4.4,3.3,1.65,4.5,3.25,1.6669999999999998,5.5,3.4,1.53
28,1.6669999999999998,3.4,4.5,1.65,3.3,4.4,1.571,3.5,5.0,1.57,3.3,5.5
29,2.625,3.2,2.375,2.7,3.0,2.3,2.75,3.2,2.25,2.87,3.1,2.2
30,1.727,3.5,4.0,1.7,3.2,4.2,1.6669999999999998,3.4,4.333,1.72,3.2,4.33
31,2.5,3.0,2.625,2.4,3.0,2.6,2.6,3.2,2.375,2.5,3.1,2.5
32,3.0,3.0,2.25,2.7,3.0,2.3,2.75,3.2,2.25,2.87,3.0,2.25
33,1.615,3.4,5.0,1.65,3.3,4.4,1.571,3.5,5.0,1.66,3.3,4.5
34,1.3330000000000002,4.333,7.5,1.3,4.2,8.0,1.3,4.333,8.0,1.3,4.33,8.0
35,1.8,3.25,4.0,1.9,3.1,3.5,1.909,3.2,3.5,1.8,3.25,3.8
36,2.5,3.2,2.5,2.5,3.0,2.5,2.5,3.2,2.5,2.37,3.1,2.62
37,2.375,3.2,2.625,2.5,3.0,2.5,2.375,3.2,2.6,2.4,3.1,2.6
38,1.25,4.5,11.0,1.25,4.5,9.0,1.3330000000000002,3.75,9.0,1.28,4.5,8.0
39,1.2,5.5,10.0,1.25,4.5,9.0,1.222,5.0,10.0,1.22,5.0,9.5
40,2.1,3.25,3.0,1.9,3.1,3.5,2.2,3.2,2.8,2.0,3.2,3.2
41,2.0,3.25,3.25,2.0,3.1,3.2,2.0,3.2,3.2,2.0,3.2,3.2
42,1.571,3.4,5.5,1.6,3.4,4.6,1.615,3.5,4.5,1.61,3.3,5.0
48,2.25,3.25,2.75,2.2,3.0,2.9,2.2,3.25,2.75,2.2,3.2,2.8
47,2.1,3.25,3.0,2.2,3.0,2.9,2.25,3.2,2.75,2.2,3.2,2.8
46,2.75,3.0,2.375,2.7,3.0,2.3,2.6,3.2,2.375,2.87,3.0,2.25
45,1.909,3.25,3.5,1.8,3.1,3.8,2.0,3.2,3.2,2.0,3.2,3.2
44,5.0,3.4,1.615,4.2,3.2,1.7,4.5,3.25,1.6669999999999998,4.5,3.3,1.66
43,4.333,3.25,1.727,3.8,3.1,1.8,5.0,3.25,1.615,4.33,3.2,1.72
49,1.909,3.25,3.5,2.1,3.0,3.1,2.0,3.2,3.2,2.0,3.2,3.2
50,1.6669999999999998,3.4,4.5,1.8,3.1,3.8,1.727,3.2,4.333,1.72,3.2,4.33
51,2.5,3.0,2.625,2.5,3.0,2.5,2.375,3.0,2.75,2.5,3.1,2.5
57,2.1,3.25,3.0,2.0,3.1,3.2,2.0,3.4,3.0,2.1,3.25,2.9
56,2.0,3.25,3.25,2.1,3.0,3.1,1.909,3.25,3.4,2.0,3.2,3.2
55,1.727,3.2,4.5,1.8,3.1,3.8,1.6669999999999998,3.25,4.5,1.66,3.3,4.5
53,1.25,4.5,11.0,1.3,4.2,8.0,1.286,4.333,9.0,1.33,4.0,8.0
52,1.2,5.5,10.0,1.25,4.5,9.0,1.2,5.0,11.0,1.22,5.0,9.5
54,1.444,3.75,6.5,1.4,3.9,6.0,1.5,3.4,6.0,1.44,3.6,6.5
58,1.833,3.25,3.75,1.85,3.1,3.6,1.8,3.2,4.0,1.9,3.1,3.6
59,2.75,3.25,2.25,2.9,3.0,2.2,2.6,3.2,2.375,2.6,3.1,2.4
60,2.625,3.0,2.5,2.7,3.0,2.3,2.75,3.2,2.25,2.5,3.1,2.5
66,3.0,3.25,2.1,2.9,3.0,2.2,2.8,3.2,2.2,3.2,3.2,2.0
67,2.8,3.25,2.2,2.9,3.0,2.2,3.0,3.4,2.0,3.0,3.2,2.1
